card_id;cardName;category_id;categoryName;user_id
3;Видео;3;hub;6ogcl24li4uzz6p
4;Сообщества;3;hub;6ogcl24li4uzz6p
5;Мессенджер;2;tapBar;6ogcl24li4uzz6p
6;Закладки;3;hub;6ogcl24li4uzz6p
7;Файлы;1;menu;6ogcl24li4uzz6p
8;VK Pay;3;hub;6ogcl24li4uzz6p
9;Настройки;1;menu;6ogcl24li4uzz6p
10;Управление VK ID;3;hub;6ogcl24li4uzz6p
11;Друзья;3;hub;6ogcl24li4uzz6p
12;Игры (категории игр);3;hub;6ogcl24li4uzz6p
13;Стикеры (каталог стикеров);3;hub;6ogcl24li4uzz6p
14;Звонки;1;menu;6ogcl24li4uzz6p
15;VK NFT;3;hub;6ogcl24li4uzz6p
16;Реклама;3;hub;6ogcl24li4uzz6p
17;Почта;3;hub;6ogcl24li4uzz6p
18;Трансляции;3;hub;6ogcl24li4uzz6p
19;Мини-программа;3;hub;6ogcl24li4uzz6p
20;Сервисы;2;tapBar;6ogcl24li4uzz6p
21;Главная (лента новостей);2;tapBar;6ogcl24li4uzz6p
22;Мой профиль;2;tapBar;6ogcl24li4uzz6p
